track name,artists names,artists ids,track popularity,artist ids,track id,release date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature,follow,pop,num artist,genre
Rose Gold Stripper Pole,['KenTheMan'],['6o4O5GX5kOWAGXtZUedxo3'],63,['6o4O5GX5kOWAGXtZUedxo3'],3MGmS1gBzgTCor09cDtlVJ,2021-10-01,0.884,0.652,1,-6.67,1,0.0588,0.0607,0,0.103,0.527,74.987,audio_features,3MGmS1gBzgTCor09cDtlVJ,131256,4,47761,55,1,hiphop
The Best,['Erica Banks'],['2SXhbucehn00OBVKhzxDyM'],62,['2SXhbucehn00OBVKhzxDyM'],4ZZqSUo5sAxJq9yxUkQY0o,2022-01-14,0.938,0.317,1,-5.854,1,0.276,0.00951,4.91e-06,0.0805,0.473,135.931,audio_features,4ZZqSUo5sAxJq9yxUkQY0o,152647,4,59536,61,1,hiphop
CAN'T TOUCH THIS,['BIA'],['6veh5zbFpm31XsPdjBgPER'],72,['6veh5zbFpm31XsPdjBgPER'],1LJYn86ysceH708AIkw0VZ,2021-10-22,0.975,0.482,9,-7.94,1,0.246,0.00716,0,0.0596,0.737,125.953,audio_features,1LJYn86ysceH708AIkw0VZ,146598,4,274629,72,1,hiphop
Cartier,['Melii'],['4udfTw7V8jI4AHi7PEfJfj'],53,['4udfTw7V8jI4AHi7PEfJfj'],002WDZVLY5EElAwSjXziVt,2022-02-18,0.897,0.681,9,-3.809,1,0.154,0.0063,0.00079,0.127,0.139,149.008,audio_features,002WDZVLY5EElAwSjXziVt,98219,4,171107,55,1,hiphop
Hello (with Saucy Santana),"['Tay Money', 'Saucy Santana']","['6R6EfP43F8ZuMcilsE4zs7', '2NfwGBr2swqZ1rzE3kAV23']",61,"['6R6EfP43F8ZuMcilsE4zs7', '2NfwGBr2swqZ1rzE3kAV23']",2Ib5LOrfWLHrME2dYtMDxp,2022-02-04,0.842,0.482,1,-4.96,1,0.408,0.354,0,0.0979,0.714,152.035,audio_features,2Ib5LOrfWLHrME2dYtMDxp,168997,4,208247,125,2,hiphop
Eat It,['Megan Thee Stallion'],['181bsRPaVXVlUKXrxwZfHK'],73,['181bsRPaVXVlUKXrxwZfHK'],4V5Dv8IjHNTk2YJzU9vgsW,2021-10-29,0.843,0.671,10,-5.708,0,0.22,0.0517,0,0.286,0.56,137.932,audio_features,4V5Dv8IjHNTk2YJzU9vgsW,169421,4,6036030,86,1,hiphop
Like That,['Stefflon Don'],['2ExGrw6XpbtUAJHTLtUXUD'],59,['2ExGrw6XpbtUAJHTLtUXUD'],4sRA220I8uSmsF0rffzGU8,2022-02-18,0.751,0.672,6,-6.611,1,0.108,0.157,0,0.091,0.599,142.071,audio_features,4sRA220I8uSmsF0rffzGU8,148769,4,956732,72,1,hiphop
BESITO (feat. G Herbo),"['BIA', 'G Herbo']","['6veh5zbFpm31XsPdjBgPER', '5QdEbQJ3ylBnc3gsIASAT5']",66,"['6veh5zbFpm31XsPdjBgPER', '5QdEbQJ3ylBnc3gsIASAT5']",108CRSzSnhShMbNgNHWrjU,2021-09-24,0.841,0.394,1,-7.565,1,0.443,0.00656,0,0.275,0.583,150.057,audio_features,108CRSzSnhShMbNgNHWrjU,131224,4,1715106,151,2,hiphop
UonU (feat. Yung Bleu),"['Kali', 'Yung Bleu']","['1YRqgFNXqRyMDRr8ClS1NL', '3KNIG74xSTc3dj0TRy7pGX']",57,"['1YRqgFNXqRyMDRr8ClS1NL', '3KNIG74xSTc3dj0TRy7pGX']",3udY2LgfOU8GOWBnoYmFsP,2022-02-11,0.66,0.445,4,-9.243,0,0.169,0.213,1.98e-06,0.204,0.227,159.945,audio_features,3udY2LgfOU8GOWBnoYmFsP,218205,4,1066420,131,2,hiphop
No Love (with SZA),"['Summer Walker', 'SZA']","['57LYzLEk2LcFghVwuWbcuS', '7tYKF4w9nC0nq9CsPZTHyP']",83,"['57LYzLEk2LcFghVwuWbcuS', '7tYKF4w9nC0nq9CsPZTHyP']",08SB2OtZkaliju77WYEKxk,2021-11-05,0.707,0.618,1,-5.825,0,0.19,0.17,0,0.293,0.517,133.876,audio_features,08SB2OtZkaliju77WYEKxk,231498,4,10474277,171,2,hiphop
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),"['Amaarae', 'Kali Uchis', 'Moliy']","['21UPYSRWFKwtqvSAnFnSvS', '1U1el3k54VvEUzo3ybLPlM', '2hVWBpjLW4Q7fboYz2pVYK']",65,"['21UPYSRWFKwtqvSAnFnSvS', '1U1el3k54VvEUzo3ybLPlM', '2hVWBpjLW4Q7fboYz2pVYK']",15HMh4yxdf4wyxSZSlOgGZ,2021-09-16,0.859,0.525,1,-8.051,0,0.0592,0.434,2.34e-05,0.108,0.312,110.066,audio_features,15HMh4yxdf4wyxSZSlOgGZ,204764,4,2734883,234,3,hiphop
BBM (Bad Bitch Mentality),['Charmaine'],['5cie6OioF2WHr2KflhcQGT'],42,['5cie6OioF2WHr2KflhcQGT'],063jdVCwrYUHdyeoJvQq3H,2022-02-11,0.915,0.643,6,-6.237,0,0.174,0.00447,0,0.0627,0.674,142.033,audio_features,063jdVCwrYUHdyeoJvQq3H,112973,4,5549,42,1,hiphop
